_id,Date,Temp Max,Temp Min
238,26-08-1951,35.04000092,25.35000038
239,27-08-1951,35.90000153,25.72999954
240,28-08-1951,35.22000122,26.21999931
241,29-08-1951,34.66999817,23.79000092
242,30-08-1951,33.11999893,24.95999908
243,31-08-1951,33.65000153,24.45000076
244,01-09-1951,33.20000076,24.35000038
245,02-09-1951,33.50999832,25.12999916
246,03-09-1951,35.77000046,24.95999908
247,04-09-1951,35.40999985,24.95000076
248,05-09-1951,33.91999817,25.04999924
249,06-09-1951,33.41999817,24.52000046
250,07-09-1951,32.13000107,24.79999924
251,08-09-1951,34.74000168,25.39999962
252,09-09-1951,34.45000076,25.75
253,10-09-1951,35.97999954,26.30999947
254,11-09-1951,34.77999878,25.85000038
255,12-09-1951,35.58000183,25.06999969
256,13-09-1951,34.75999832,25.84000015
257,14-09-1951,33.83000183,25.38999939
258,15-09-1951,34.36000061,24.79999924
259,16-09-1951,34.02999878,25.28000069
260,17-09-1951,34.84999847,25.45999908
261,18-09-1951,34.58000183,26.12000084
262,19-09-1951,34.68999863,25.59000015
263,20-09-1951,34.18999863,26.09000015
264,21-09-1951,34.63999939,25.87999916
265,22-09-1951,35.41999817,25.88999939
266,23-09-1951,35.09999847,26.12999916
267,24-09-1951,35.33000183,26
268,25-09-1951,34.56999969,25.73999977
269,26-09-1951,33.90000153,25.30999947
270,27-09-1951,32.52999878,24.78000069
271,28-09-1951,31.62999916,24.29000092
272,29-09-1951,31.14999962,24.29999924
273,30-09-1951,31.95999908,24.98999977
274,01-10-1951,32.54000092,24.87000084
275,02-10-1951,33.31000137,25.12000084
276,03-10-1951,34.31999969,25.70000076
277,04-10-1951,34.84999847,25.61000061
278,05-10-1951,34.56000137,25.10000038
279,06-10-1951,33.38000107,25.12999916
280,07-10-1951,34.31999969,25.06999969
281,08-10-1951,34.56999969,25
282,09-10-1951,34.33000183,25.29999924
283,10-10-1951,34.58000183,24.71999931
284,11-10-1951,35.11999893,24.52000046
285,12-10-1951,34.61000061,25.36000061
286,13-10-1951,35.13999939,25.37999916
287,14-10-1951,34.75999832,25.87999916
288,15-10-1951,34.56000137,25.82999992
